author,rating,time,year,amount,frequency
AHMEMAH,100,2017-11-22,2017,110,1
Ahyoung,100,2018-6-12,2018,110,1
Ai Chuan,100,2017-12-22,2017,110,1
Ai Lee,100,2018-10-8,2018,110,1
Ai Ling,80,2018-8-18,2018,110,1
AIANE BERNADETTE,100,2017-8-23,2017,110,1
AIBO,100,2018-11-11,2018,110,1
Aicel Mae,100,2019-2-11,2019,110,1
Aidan Chelsea,100,2019-1-22,2019,110,1
Aik Peng,100,2016-11-16,2016,110,1
Aika Angelique Marie,80,2018-9-6,2018,110,1
Aile Louise,100,2019-1-16,2019,110,1
Aileen,100,2019-2-2,2019,110,1
Aileen,100,2019-1-5,2019,110,1
Aileen,100,2018-10-3,2018,110,1
Aileen,100,2018-7-20,2018,110,1
Aileen,100,2018-6-6,2018,110,1
Aileen,100,2017-11-10,2017,110,1
Aileen Paula,60,2017-10-30,2017,110,1
AILIN,80,2017-10-19,2017,110,1
Ailyne Diane,100,2016-12-2,2016,110,1
Aim Irnie Nadia,100,2018-10-3,2018,110,1
Aimee,100,2019-1-27,2019,110,1
Aimee,100,2018-9-24,2018,110,1
Aimee,80,2018-9-2,2018,110,1
AIMEE,100,2018-8-27,2018,110,1
Aimee,100,2018-8-17,2018,110,1
AI-MEI,100,2017-3-23,2017,110,1
aimileen,100,2018-3-5,2018,110,1
AIRA ENISY,100,2018-1-22,2018,110,1
Airish Joy,100,2018-10-31,2018,110,1
aissa,100,2018-10-14,2018,110,1
Aissa,100,2018-1-26,2018,110,1
Aiza,100,2018-10-8,2018,110,1
Akarachai,80,2017-12-21,2017,110,1
Akinori,80,2018-7-22,2018,110,1
Akio Manuel,100,2017-9-4,2017,110,1
Al Tyrone,100,2018-9-22,2018,110,1
Alain James,100,2018-3-31,2018,110,1
Alan,80,2018-12-22,2018,110,1
Alan,100,2016-8-10,2016,110,1
Alan ,100,2018-9-16,2018,110,1
ALAN LUIGI,100,2017-9-11,2017,110,1
Alan Ruben,100,2018-11-8,2018,110,1
Alana Lea Leonie,100,2018-1-15,2018,110,1
Alaric Sathit,100,2017-5-20,2017,110,1
Albert,80,2017-4-10,2017,110,1
Alberto,100,2018-11-12,2018,110,1
Aldanica,100,2018-9-22,2018,110,1
Alden,100,2018-11-25,2018,110,1
Alden,80,2018-2-11,2018,110,1
Aldrin,100,2018-8-31,2018,110,1
Aldrin,80,2018-1-18,2018,110,1
aldy,100,2018-9-21,2018,110,1
Alea Kristine,100,2018-12-1,2018,110,1
Aleander,100,2019-1-22,2019,110,1
Aleen Karrina,100,2018-12-26,2018,110,1
Aleen Karrina,100,2017-11-6,2017,110,1
Alejandro,80,2018-11-4,2018,110,1
Aleksandra,100,2016-10-25,2016,110,1
Aleny Joyce,60,2018-2-6,2018,110,1
Alessandro,100,2018-6-21,2018,110,1
ALETHEA K L,80,2018-8-20,2018,110,1
Alex,100,2018-8-26,2018,110,1
Alex,100,2017-12-30,2017,110,1
Alex,80,2016-11-10,2016,110,1
Alexa,80,2017-10-25,2017,110,1
Alexander,80,2018-2-5,2018,110,1
Alexander,100,2017-1-4,2017,110,1
ALEXANDER ALLEN,100,2018-3-19,2018,110,1
Alexander Jr,100,2018-3-26,2018,110,1
Alexandrea Paola,80,2017-12-2,2017,110,1
alexandria,80,2018-5-26,2018,110,1
Alexia,100,2018-10-29,2018,110,1
ALEXIS ANNE,100,2019-2-23,2019,110,1
Alexis Joy,80,2018-11-24,2018,110,1
Alexis Miguel,100,2019-1-3,2019,110,1
ALFAT,80,2017-12-8,2017,110,1
ALFIE,100,2018-8-2,2018,110,1
alfie,100,2018-5-5,2018,110,1
Alfred Steven ,100,2018-3-14,2018,110,1
Alghi,100,2018-8-15,2018,110,1
Alhynn,100,2017-12-7,2017,110,1
Alice,100,2018-12-20,2018,110,1
Alice,80,2018-7-15,2018,110,1
ALICE,60,2017-6-25,2017,110,1
Alida,100,2017-11-13,2017,110,1
Alina  Alexandra,100,2018-8-23,2018,110,1
Aljon,100,2019-2-5,2019,110,1
Allan,80,2018-10-17,2018,110,1
Allan,80,2018-9-25,2018,110,1
Allan,100,2018-7-7,2018,110,1
Allan Yeok Lim,60,2018-11-15,2018,110,1
Allen James,100,2017-12-31,2017,110,1
Allen Marie,80,2018-10-22,2018,110,1
Allicamet,100,2018-10-3,2018,110,1
ALLYN,100,2018-9-29,2018,110,1
Allysa Mae,100,2019-1-22,2019,110,1
Allysa Marie,80,2018-2-15,2018,110,1
Allyssa Reinel,100,2018-1-10,2018,110,1
Alma,80,2018-6-17,2018,110,1
Alma Maria,100,2019-1-9,2019,110,1
Almairah,100,2017-9-21,2017,110,1
Almira,100,2017-11-24,2017,110,1
almira may,80,2019-1-29,2019,110,1
Almira Rae Catalina,60,2017-8-13,2017,110,1
Aloysius,100,2018-9-28,2018,110,1
Althea,100,2018-4-10,2018,110,1
Alva Celina Eloisa,80,2018-6-11,2018,110,1
Alvin,100,2018-12-18,2018,110,1
Alvin,100,2018-11-1,2018,110,1
Alvin,100,2018-10-16,2018,110,1
Alvin,80,2018-6-1,2018,110,1
ALVIN,100,2017-11-5,2017,110,1
Alvin ,100,2018-10-13,2018,110,1
Alvin Bernard ,100,2017-11-12,2017,110,1
Alvin Howard,60,2017-11-6,2017,110,1
Alvin Jesus,80,2018-6-9,2018,110,1
Alvin Kenneth,80,2018-8-2,2018,110,1
Alvin Paulo,100,2019-1-16,2019,110,1
Alvin Ray,100,2017-9-4,2017,110,1
Alwin,100,2018-8-6,2018,110,1
Alyssa,100,2018-10-21,2018,110,1
Alyssa,100,2018-7-14,2018,110,1
Alyssa,60,2017-10-1,2017,110,1
Alyssa,100,2017-7-25,2017,110,1
Alyssa Aivi,100,2018-7-9,2018,110,1
Alyssa Berryl,80,2018-7-2,2018,110,1
ALYSSA JULIA,100,2018-3-21,2018,110,1
Alyssa Mae,100,2018-9-15,2018,110,1
Alyssa Mae Ginez,100,2017-6-20,2017,110,1
Alyssa Marie,100,2018-7-15,2018,110,1
Alyssa Nicole,100,2018-10-2,2018,110,1
Alyssa Patricia,100,2019-2-22,2019,110,1
Alyzza,100,2017-5-31,2017,110,1
Amabelle,100,2018-7-23,2018,110,1
Amabelle grace,60,2017-1-22,2017,110,1
Amanda,100,2018-11-19,2018,110,1
Amanda,100,2018-8-3,2018,110,1
Amanda,100,2018-6-30,2018,110,1
AMANDA,100,2018-4-23,2018,110,1
Amelia,100,2019-1-6,2019,110,1
Amelia Chia Ra,100,2018-10-7,2018,110,1
Amie Laarni,100,2018-2-9,2018,110,1
AMIEL JOHN,80,2017-8-11,2017,110,1
Amilian ,80,2016-10-31,2016,110,1
Aminah,80,2018-3-11,2018,110,1
Amirah,80,2017-3-28,2017,110,1
Amirul Shafiq,100,2019-1-8,2019,110,1
amor,100,2018-12-7,2018,110,1
Amy,100,2018-10-22,2018,110,1
Amy Alicia,100,2017-1-3,2017,110,1
Amy Ka Huen,100,2019-1-8,2019,110,1
An,80,2018-12-15,2018,110,1
An,100,2018-12-10,2018,110,1
AN JUI,100,2018-6-18,2018,110,1
AN NISA,100,2018-2-9,2018,110,1
Ana,100,2017-4-15,2017,110,1
Ana Beatrice,100,2019-2-27,2019,110,1
Ana Carmina,100,2017-12-6,2017,110,1
Ana Czarina,100,2018-6-25,2018,110,1
Ana Denise,100,2018-8-19,2018,110,1
Ana Dominik,100,2018-5-31,2018,110,1
Ana Karmella,100,2018-7-1,2018,110,1
Ana Kristine,100,2017-7-5,2017,110,1
Ana Mae,80,2018-10-25,2018,110,1
Ana Maria Abuel,80,2019-2-18,2019,110,1
Ana Mariel,60,2017-11-1,2017,110,1
Ana Maurien,100,2017-3-28,2017,110,1
Ana Paula,100,2018-11-30,2018,110,1
anabel,100,2019-2-22,2019,110,1
Anabel,100,2019-2-20,2019,110,1
Anabelle,80,2018-12-4,2018,110,1
ANACLETO,80,2019-1-15,2019,110,1
Analiza,100,2019-1-5,2019,110,1
analyn,100,2018-12-29,2018,110,1
Analyn,100,2018-12-3,2018,110,1
analyne,100,2018-11-17,2018,110,1
Ananchai,100,2018-7-31,2018,110,1
Anand,100,2018-2-23,2018,110,1
Anastasia,100,2018-11-26,2018,110,1
Anastasiya,80,2017-6-8,2017,110,1
Anchalee,100,2018-12-25,2018,110,1
Andre,60,2017-8-27,2017,110,1
Andre Sahat,100,2017-12-28,2017,110,1
Andrea,100,2017-10-10,2017,110,1
ANDREA GENALINE,100,2018-12-3,2018,110,1
Andreana,100,2017-11-8,2017,110,1
Andrew,100,2019-2-4,2019,110,1
Andrew,100,2018-12-4,2018,110,1
Andrew,100,2017-11-10,2017,110,1
Andrew,100,2017-10-19,2017,110,1
Andrew,40,2017-3-26,2017,110,1
Andrew,100,2017-1-1,2017,110,1
Andrew Dale,100,2018-10-21,2018,110,1
Andrew Li Yi,100,2018-8-16,2018,110,1
Andrew Philip,100,2016-11-25,2016,110,1
ANDREW WEIQIANG,100,2016-8-3,2016,110,1
Andriani,100,2016-10-7,2016,110,1
ANDY,100,2018-10-19,2018,110,1
Andy,100,2018-8-21,2018,110,1
Aneta,100,2018-6-17,2018,110,1
ang,100,2018-9-30,2018,110,1
Ang yu,80,2018-8-14,2018,110,1
Angel,100,2017-10-22,2017,110,1
ANGEL MARIE,80,2018-6-24,2018,110,1
Angela,100,2018-11-5,2018,110,1
Angela,100,2018-10-23,2018,110,1
Angela Anne,100,2017-9-3,2017,110,1
Angela Cristia ,100,2018-5-21,2018,110,1
ANGELA KAREN,100,2018-8-4,2018,110,1
Angela Kristine,100,2019-1-2,2019,110,1
Angela Maria,100,2018-3-13,2018,110,1
Angela Marie,80,2017-12-23,2017,110,1
Angela Merce,100,2018-7-27,2018,110,1
Angela Roscel,80,2018-7-28,2018,110,1
Angeleca,100,2018-1-14,2018,110,1
Angeli,100,2018-9-16,2018,110,1
ANGELI CHRISTINE,100,2018-1-15,2018,110,1
Angeli Mariel,60,2018-12-19,2018,110,1
Angelic,100,2017-8-6,2017,110,1
ANGELICA,100,2018-12-9,2018,110,1
Angelica,100,2018-11-23,2018,110,1
Angelica,100,2018-10-21,2018,110,1
Angelica,100,2018-6-30,2018,110,1
Angelica,80,2018-5-2,2018,110,1
ANGELICA MAE,100,2018-11-25,2018,110,1
ANGELICA MAY,80,2018-9-25,2018,110,1
Angelica Rose,100,2017-10-12,2017,110,1
Angelie,100,2017-12-3,2017,110,1
Angelie Emmanuelle,80,2016-12-18,2016,110,1
Angelina,80,2018-11-12,2018,110,1
ANGELINA,100,2017-11-15,2017,110,1
ANGELINA,100,2017-9-24,2017,110,1
ANGELINA,100,2017-4-3,2017,110,1
Angeline,100,2019-1-24,2019,110,1
Angeline,100,2018-12-8,2018,110,1
Angeline ,80,2018-10-26,2018,110,1
Angeline Martha,100,2019-1-26,2019,110,1
Angelique,100,2018-12-8,2018,110,1
Angelique,100,2018-6-24,2018,110,1
Angelique Mae,100,2018-11-27,2018,110,1
Angelita,80,2018-8-8,2018,110,1
Angelita,100,2017-10-27,2017,110,1
Angelo,100,2018-10-4,2018,110,1
Angelo,100,2018-8-28,2018,110,1
ANGELO GABRIEL,100,2018-5-23,2018,110,1
Angelyn,60,2018-6-10,2018,110,1
Angglia,100,2017-11-4,2017,110,1
Anggreini,60,2017-10-21,2017,110,1
Angie,100,2017-9-24,2017,110,1
ANGIELYN,100,2018-3-19,2018,110,1
Anh,100,2017-9-6,2017,110,1
Anh Dao,100,2017-10-17,2017,110,1
Anh Duong,100,2019-2-4,2019,110,1
ANH VU,100,2018-5-25,2018,110,1
Anhthu,60,2018-6-13,2018,110,1
Anielisa Ureta,100,2018-4-5,2018,110,1
ANILEN,100,2018-3-27,2018,110,1
Anita,100,2019-2-16,2019,110,1
Anita ,80,2018-12-5,2018,110,1
Anita ,80,2018-1-8,2018,110,1
Anjelica Joy,100,2017-12-12,2017,110,1
Anjelica Mae,100,2018-7-9,2018,110,1
ANLUN,100,2018-10-8,2018,110,1
Ann,100,2019-2-20,2019,110,1
Ann,100,2017-6-18,2017,110,1
Ann Bernadette,100,2018-11-11,2018,110,1
ANN CHERRY,100,2018-7-26,2018,110,1
Ann Cheska,100,2017-10-23,2017,110,1
Ann Christine,100,2018-6-19,2018,110,1
ANN FEBEL,60,2017-5-28,2017,110,1
Ann Jee,100,2017-3-16,2017,110,1
Ann Marie,80,2016-10-31,2016,110,1
Ann Marjiel,100,2018-4-23,2018,110,1
Ann Regine,80,2018-11-6,2018,110,1
Anna,100,2019-1-24,2019,110,1
Anna,100,2018-9-16,2018,110,1
Anna,100,2018-1-4,2018,110,1
Anna Beatriz,80,2018-1-4,2018,110,1
Anna Clarissa,80,2017-10-29,2017,110,1
Anna Cristina ,100,2018-11-3,2018,110,1
Anna Farazilah,100,2018-9-6,2018,110,1
Anna Farinah,100,2018-6-30,2018,110,1
Anna Filipina ,100,2018-7-27,2018,110,1
Anna Francesca,100,2018-9-2,2018,110,1
Anna Grace,100,2018-2-3,2018,110,1
ANNA JULIA,100,2018-11-12,2018,110,1
Anna Kathlynne,100,2018-5-13,2018,110,1
Anna Kathrina,100,2018-8-3,2018,110,1
Anna Kathrina,100,2017-12-28,2017,110,1
Anna Margarita,100,2018-5-20,2018,110,1
ANNA MARIE,80,2018-11-15,2018,110,1
Anna Marie Yvonne,100,2018-11-12,2018,110,1
Anna Marie Yvonne,100,2017-9-24,2017,110,1
Anna Patricia,100,2018-6-16,2018,110,1
anna valdes,80,2018-12-5,2018,110,1
Anna Vanessa ,60,2018-12-31,2018,110,1
Annabel,100,2018-6-3,2018,110,1
ANNABEL,100,2018-5-4,2018,110,1
ANNALISA,100,2017-1-18,2017,110,1
annasaskiagisela,100,2017-8-28,2017,110,1
Anne Franchesca,100,2018-7-7,2018,110,1
Anne Gibelle Ruth,100,2018-2-22,2018,110,1
Anne Louise,100,2018-7-2,2018,110,1
Anne Margrett Cruz,100,2019-1-31,2019,110,1
Anne Marie Charisse,100,2018-7-19,2018,110,1
Anne Mariel,100,2018-2-5,2018,110,1
Anne Victoria,100,2017-9-9,2017,110,1
Annenicolai,100,2018-11-3,2018,110,1
Annette,100,2018-7-17,2018,110,1
Annette,100,2018-2-11,2018,110,1
Annette En Ning,100,2017-10-2,2017,110,1
annie,100,2019-1-15,2019,110,1
Annie,100,2018-11-26,2018,110,1
Annie,100,2017-6-21,2017,110,1
ANNIE,100,2016-10-21,2016,110,1
Annie Rose,100,2018-11-4,2018,110,1
Anthea,100,2018-11-14,2018,110,1
Anthonius,100,2017-1-10,2017,110,1
Anthony,100,2018-9-24,2018,110,1
Anthony,80,2018-5-5,2018,110,1
Anthony William Wing Hao,80,2017-11-20,2017,110,1
Antoinette,60,2017-10-25,2017,110,1
Antoinette Wei Ling,100,2019-1-14,2019,110,1
Antonio,100,2018-8-25,2018,110,1
Antonio,100,2017-8-13,2017,110,1
ANTONIO,80,2017-2-13,2017,110,1
ANTONIO ARLAN,100,2017-12-22,2017,110,1
ANTONIO MIGUEL,80,2019-2-28,2019,110,1
ANUCHIT,100,2019-2-15,2019,110,1
anuwat,100,2018-12-19,2018,110,1
Aphakorn,100,2018-12-31,2018,110,1
Apinya,100,2018-8-17,2018,110,1
Apple,100,2018-2-19,2018,110,1
Apple Jelou,80,2017-7-3,2017,110,1
April,100,2018-10-11,2018,110,1
April,80,2016-11-21,2016,110,1
APRIL ANNE,100,2018-3-16,2018,110,1
APRIL ANNE ELIZABETH,100,2018-7-31,2018,110,1
APRIL DAWN,80,2018-3-17,2018,110,1
April Eve,100,2018-7-25,2018,110,1
April Joy,60,2018-11-24,2018,110,1
April Joy,80,2018-7-31,2018,110,1
April Joyce,100,2019-1-15,2019,110,1
april joyce,100,2018-11-20,2018,110,1
APRIL LIZEL,100,2018-4-3,2018,110,1
April Louie,100,2018-8-3,2018,110,1
April Mae,100,2018-11-30,2018,110,1
APRIL ROSE,100,2017-9-15,2017,110,1
Aqua Joy,100,2017-11-12,2017,110,1
aquino III,20,2017-6-20,2017,110,1
arah,100,2017-7-9,2017,110,1
araya,80,2018-12-13,2018,110,1
Araya,100,2018-2-26,2018,110,1
ARCHIE,80,2018-9-29,2018,110,1
Archie,100,2018-6-11,2018,110,1
Arcile,40,2017-11-8,2017,110,1
Ardie Wijaya Eka,100,2018-6-15,2018,110,1
Arian Leo,100,2018-4-8,2018,110,1
Ariane,100,2018-6-14,2018,110,1
Ariane,100,2018-6-4,2018,110,1
Ariane Grishilda,100,2018-5-24,2018,110,1
Arianne,100,2018-1-29,2018,110,1
Arianne,80,2017-12-6,2017,110,1
Arianne,80,2017-8-21,2017,110,1
Ariel,60,2017-8-12,2017,110,1
Arielle Danielle Anne,100,2018-10-26,2018,110,1
Aries,100,2017-7-8,2017,110,1
ARIFIN,60,2018-11-17,2018,110,1
Arinsza,100,2018-12-31,2018,110,1
Aris,60,2018-2-1,2018,110,1
Arisa,100,2018-9-27,2018,110,1
ARLEEN,80,2017-5-30,2017,110,1
Arlene,80,2018-12-13,2018,110,1
Arlene,100,2018-11-4,2018,110,1
Arlene,100,2018-10-8,2018,110,1
Arlene,100,2018-9-10,2018,110,1
ARLENE,100,2018-5-27,2018,110,1
ARLENE,100,2018-5-14,2018,110,1
Arlene,80,2018-4-15,2018,110,1
Arlene,60,2018-4-3,2018,110,1
Arlene,100,2018-3-13,2018,110,1
ARLENE,100,2018-1-8,2018,110,1
ARLENE,100,2018-1-1,2018,110,1
ARLHETH,100,2019-2-26,2019,110,1
Arlyn,80,2017-7-25,2017,110,1
Armando Jr,100,2018-10-25,2018,110,1
Armee Marie,60,2018-5-23,2018,110,1
Armene,100,2019-1-2,2019,110,1
Armia,80,2017-11-10,2017,110,1
ARMIE LAURENCE,100,2018-8-18,2018,110,1
Arneil,100,2017-5-2,2017,110,1
Arnie,100,2017-10-29,2017,110,1
Arnie,100,2017-7-30,2017,110,1
Arnold,80,2018-8-12,2018,110,1
ARNOLD JARN FORD,100,2018-9-28,2018,110,1
Aro,80,2018-11-6,2018,110,1
Aroha,80,2017-10-23,2017,110,1
Arrah Mae ,60,2017-5-22,2017,110,1
Arriane Marie,80,2018-8-6,2018,110,1
Arrianne,100,2016-10-22,2016,110,1
arshed,100,2019-1-17,2019,110,1
Arsieneth,100,2018-8-24,2018,110,1
Artie,100,2018-10-31,2018,110,1
Arturo Jr,100,2016-12-31,2016,110,1
Aruna,100,2018-5-14,2018,110,1
Arvi Christine,40,2018-9-15,2018,110,1
ARVIN JOHN,100,2017-11-10,2017,110,1
Ashley,100,2017-3-26,2017,110,1
ASNIE,100,2018-1-12,2018,110,1
Astika Cahya,60,2017-11-28,2017,110,1
Aston,100,2018-5-9,2018,110,1
Astrid Socorro,100,2017-6-11,2017,110,1
Astroflex,100,2018-8-16,2018,110,1
Astrude Sunshine,100,2017-2-15,2017,110,1
AT,100,2019-1-5,2019,110,1
Athena,60,2018-5-20,2018,110,1
Athena J,100,2018-6-2,2018,110,1
Audrey Mae,100,2018-10-25,2018,110,1
Audrey Ting Zhi,100,2017-1-3,2017,110,1
AUGUSTO III,100,2017-7-19,2017,110,1
Augustus,100,2018-1-28,2018,110,1
aulia syarifah,60,2017-10-9,2017,110,1
Ava Marie,80,2018-7-21,2018,110,1
Avegaile,80,2018-7-20,2018,110,1
Avelina,100,2018-10-20,2018,110,1
Axel,100,2018-9-27,2018,110,1
Axel,100,2018-9-22,2018,110,1
Ayano,80,2018-9-23,2018,110,1
Aye Aye,100,2018-1-15,2018,110,1
Ayessa,100,2018-9-25,2018,110,1
Ayessa marie,100,2018-12-31,2018,110,1
Ayush,100,2018-2-15,2018,110,1
Azharuddin,100,2019-2-23,2019,110,1
Aziel Jasmin,100,2018-4-24,2018,110,1
azis,100,2018-6-17,2018,110,1
AZMAN,100,2018-12-18,2018,110,1
Azna,80,2018-12-4,2018,110,1
Azumi,80,2017-5-1,2017,110,1
b,80,2018-10-12,2018,110,1
Ba Nhat Quang,100,2018-10-25,2018,110,1
Banjoveer,80,2017-12-18,2017,110,1
Bao Ngoc,80,2018-5-3,2018,110,1
Bao Nguyen,100,2018-2-9,2018,110,1
Bao Zhen,80,2017-9-18,2017,110,1
Barbary,100,2016-10-10,2016,110,1
Barbie,100,2018-3-1,2018,110,1
barret shi han,100,2018-3-17,2018,110,1
Barry,100,2018-1-16,2018,110,1
Bart,80,2018-7-5,2018,110,1
Barthelemy,20,2017-8-20,2017,110,1
Bea Camille,100,2018-5-9,2018,110,1
Bea Isabel,80,2017-10-30,2017,110,1
beatrice,100,2016-12-26,2016,110,1
Beatrice Marie,100,2018-12-9,2018,110,1
Beatrice Nicole,80,2018-8-13,2018,110,1
BEE BEE,80,2017-12-30,2017,110,1
Bee Chai,80,2017-12-4,2017,110,1
BEE CHIN,40,2017-9-7,2017,110,1
BEE FENG,100,2017-7-5,2017,110,1
BEE HONG,100,2017-10-11,2017,110,1
Bee Hua,100,2018-10-2,2018,110,1
Bee Khim,80,2018-3-31,2018,110,1
Bee Li,80,2018-12-19,2018,110,1
Bee Ling,100,2016-12-9,2016,110,1
Bee Ngoh,100,2017-6-1,2017,110,1
Beini,100,2017-9-24,2017,110,1
BELEN,100,2017-11-28,2017,110,1
Belinda,20,2018-6-17,2018,110,1
Belinda,100,2018-5-20,2018,110,1
Belinda,80,2017-12-6,2017,110,1
Belinda,100,2017-12-6,2017,110,1
Belle Joselyn,100,2017-8-8,2017,110,1
Belti,100,2018-10-2,2018,110,1
Ben Jeric,100,2018-6-30,2018,110,1
Benedict,80,2018-8-15,2018,110,1
Benedict,100,2018-7-2,2018,110,1
Benedict,80,2018-3-29,2018,110,1
Benedict,100,2018-2-17,2018,110,1
Benedict,100,2017-10-27,2017,110,1
BENEDICTA,100,2017-5-6,2017,110,1
Benita,80,2017-7-27,2017,110,1
Benito Jr,80,2019-2-14,2019,110,1
Benjamin,100,2019-1-22,2019,110,1
Benjamin,80,2018-8-8,2018,110,1
Benjamin,100,2018-6-18,2018,110,1
benjamin,80,2017-11-7,2017,110,1
Benjamin,100,2017-10-24,2017,110,1
benjarat,100,2018-6-27,2018,110,1
BENSON,100,2017-12-11,2017,110,1
BEOBKO,100,2019-1-2,2019,110,1
Bernadeth,100,2018-6-16,2018,110,1
Bernadette,80,2018-12-10,2018,110,1
Bernadette,100,2018-12-4,2018,110,1
bernadette,100,2018-7-17,2018,110,1
Bernadette,80,2018-6-12,2018,110,1
Bernadette,60,2018-1-22,2018,110,1
Bernadette,100,2017-10-1,2017,110,1
BernadetteTheresa,60,2018-1-4,2018,110,1
BERNADYN,100,2018-8-29,2018,110,1
BERNALIZE,100,2016-12-1,2016,110,1
Bernard,100,2017-2-26,2017,110,1
Bernard Bryan,80,2016-12-1,2016,110,1
Bernice,100,2017-12-10,2017,110,1
Bernice Nadine,80,2017-3-25,2017,110,1
Bessie Jhoy,100,2018-11-11,2018,110,1
Betha Ariesanty,100,2016-11-28,2016,110,1
Betsy,80,2017-8-9,2017,110,1
Betty,80,2018-5-25,2018,110,1
Beung chul,80,2018-7-14,2018,110,1
BEVERLY,100,2018-1-29,2018,110,1
Beverly Ann,100,2018-1-24,2018,110,1
Beverly Charm,100,2018-1-3,2018,110,1
BEVERLYEVONNE,100,2017-11-15,2017,110,1
Bi Shi,100,2018-7-23,2018,110,1
Bi Yu,100,2019-1-30,2019,110,1
BIANCA,80,2017-10-7,2017,110,1
Bianca,100,2017-9-4,2017,110,1
bianca camille,100,2018-9-11,2018,110,1
BIANCA LOUISE,100,2019-2-8,2019,110,1
Bianca Mae,60,2018-3-12,2018,110,1
BICH NGOC,100,2018-2-17,2018,110,1
Bich Trang,100,2018-9-7,2018,110,1
Billie Jaya,100,2019-1-2,2019,110,1
BILLONES,100,2019-2-14,2019,110,1
Billy Joe,100,2018-11-11,2018,110,1
Billy Joe,100,2017-12-12,2017,110,1
Billy Ying-Hung,100,2018-1-2,2018,110,1
bin,80,2017-5-28,2017,110,1
Bin Chiun,80,2017-1-22,2017,110,1
Bin Keng Kevin,80,2017-1-1,2017,110,1
Biqi,100,2019-2-27,2019,110,1
BITNA,100,2018-6-18,2018,110,1
Bless Faith,100,2018-1-24,2018,110,1
BLITZEN JUSTIN,100,2017-7-3,2017,110,1
Bo,100,2019-2-11,2019,110,1
Bo Xiang,100,2017-10-29,2017,110,1
BO-CHENG,80,2017-7-15,2017,110,1
BOKKYUN,40,2018-12-12,2018,110,1
bokyung,100,2018-12-24,2018,110,1
Bong Fortuno,100,2018-7-23,2018,110,1
Bong Hang,100,2018-11-6,2018,110,1
Bonifacio,100,2018-5-26,2018,110,1
Bonifacio Jr,100,2019-1-20,2019,110,1
boon,100,2018-11-10,2018,110,1
