,season,holiday,weather,temp,humidity,windspeed,count,hour,month,hour_count,wendu,wh
7646,2,0,1,22.14,49,8.9981,166,23,5,正常,2,2
3981,3,0,1,19.68,67,6.0032,167,22,9,正常,2,2
10152,4,0,1,13.12,31,22.0028,161,10,11,正常,1,1
2670,2,0,2,27.06,74,8.9981,17,4,6,低谷,3,2
148,1,0,2,8.2,40,15.0013,67,11,1,中高峰,0,1
2024,2,0,1,18.86,82,8.9981,99,6,5,正常,2,2
889,1,0,1,12.3,39,8.9981,86,12,3,中高峰,1,1
5251,4,0,1,10.66,81,0.0,121,21,12,正常,0,2
9128,3,1,1,30.34,70,8.9981,498,17,9,高峰,4,0
6861,2,0,1,17.22,67,6.0032,27,5,4,低谷,2,2
8046,2,0,1,29.52,39,12.998,377,15,6,中高峰,4,1
9478,3,0,2,26.24,89,30.0026,356,7,9,正常,3,0
9745,4,0,1,22.96,52,19.9995,217,10,10,正常,2,1
3800,3,0,3,25.42,94,11.0014,288,8,9,高峰,3,0
6389,1,0,2,16.4,87,6.0032,214,11,3,中高峰,1,0
2806,3,0,1,31.16,66,7.0015,284,20,7,中高峰,4,0
189,1,0,1,3.28,53,12.998,1,4,1,低谷,0,2
7329,2,0,1,28.7,54,31.0009,641,18,5,高峰,4,0
2702,3,0,1,32.8,26,0.0,263,12,7,中高峰,4,1
7145,2,1,1,24.6,64,16.9979,14,2,4,低谷,3,2
9756,4,0,1,20.5,51,23.9994,269,21,10,正常,2,2
6807,2,0,3,20.5,63,7.0015,68,22,4,正常,2,1
1653,2,0,1,22.14,32,0.0,259,19,4,高峰,2,0
8829,3,0,3,26.24,89,19.9995,44,6,8,正常,3,2
5255,4,0,1,8.2,80,0.0,4,1,12,低谷,0,2
1834,2,0,2,22.96,83,19.0012,459,8,5,高峰,2,0
5882,1,0,3,15.58,62,6.0032,208,7,2,正常,1,0
497,1,0,1,8.2,47,6.0032,109,20,2,中高峰,0,0
5764,1,0,1,4.92,54,15.0013,36,8,1,高峰,0,1
1288,1,0,1,26.24,41,19.0012,175,13,3,高峰,3,1
5716,1,0,1,9.84,52,23.9994,419,8,1,高峰,0,0
5403,4,0,1,5.74,93,7.0015,21,5,12,低谷,0,2
3050,3,0,1,25.42,65,12.998,110,0,7,低谷,3,2
5836,1,0,1,11.48,52,22.0028,202,9,1,中高峰,0,0
4504,4,0,3,22.96,100,11.0014,140,18,10,高峰,2,0
6538,1,0,1,19.68,23,27.9993,343,16,3,高峰,2,1
5253,4,0,1,9.84,75,0.0,45,23,12,正常,0,2
5956,1,0,1,9.84,81,8.9981,157,9,2,中高峰,0,1
8564,3,0,1,29.52,70,11.0014,46,5,7,低谷,4,2
1312,1,0,1,20.5,34,31.0009,301,13,3,高峰,2,0
10568,4,0,1,11.48,45,11.0014,565,18,12,高峰,0,0
2918,3,0,1,33.62,46,19.0012,377,12,7,中高峰,5,0
7408,2,0,2,21.32,59,15.0013,9,1,5,低谷,2,2
2105,2,0,2,22.14,94,11.0014,294,15,5,中高峰,2,0
6406,1,0,2,13.94,46,12.998,14,4,3,低谷,1,2
1947,2,0,2,21.32,55,0.0,64,1,5,低谷,2,2
5821,1,0,1,18.86,63,30.0026,463,18,1,高峰,2,0
5739,1,0,1,5.74,50,8.9981,24,7,1,正常,0,2
4309,4,0,3,24.6,73,7.0015,171,14,10,中高峰,3,1
23,1,0,2,18.86,88,19.9995,39,23,1,正常,2,1
7683,2,0,1,27.06,36,0.0,642,12,5,中高峰,3,0
10490,4,0,1,21.32,68,11.0014,268,12,12,中高峰,2,1
614,1,0,1,8.2,32,26.0027,152,18,2,高峰,0,0
3841,3,0,2,25.42,88,0.0,88,1,9,低谷,3,2
8022,2,0,1,30.34,48,19.9995,324,15,6,中高峰,4,1
1644,2,0,1,20.5,51,12.998,89,10,4,正常,2,1
9821,4,0,1,19.68,33,12.998,597,14,10,中高峰,2,0
10804,4,0,2,15.58,76,8.9981,310,14,12,中高峰,1,0
10625,4,0,2,16.4,87,7.0015,48,3,12,低谷,1,2
1650,2,0,1,24.6,26,7.0015,202,16,4,高峰,3,1
2031,2,0,1,25.42,50,0.0,193,13,5,高峰,3,1
1340,2,0,1,13.94,46,22.0028,281,17,4,高峰,1,0
1584,2,0,2,26.24,50,19.0012,91,22,4,正常,3,2
9075,3,0,2,32.8,55,11.0014,471,12,9,中高峰,4,0
877,1,0,1,12.3,70,31.0009,7,0,3,低谷,1,2
6521,1,0,2,22.96,49,30.0026,94,23,3,正常,2,2
7627,2,0,1,24.6,64,22.0028,16,4,5,低谷,3,2
10184,4,0,1,17.22,44,7.0015,496,18,11,高峰,2,0
158,1,0,1,7.38,47,8.9981,39,21,1,正常,0,2
2286,2,0,1,21.32,48,22.0028,6,4,6,低谷,2,2
4048,3,0,2,23.78,64,8.9981,568,17,9,高峰,3,0
6724,1,0,2,21.32,77,8.9981,585,11,3,中高峰,2,0
10446,4,0,2,15.58,66,0.0,443,16,12,高峰,1,0
2006,2,0,2,24.6,38,0.0,217,12,5,中高峰,3,1
1175,1,0,1,18.86,41,26.0027,256,16,3,高峰,2,0
9259,3,0,1,21.32,77,16.9979,28,4,9,低谷,2,2
6622,1,0,2,18.86,82,12.998,24,5,3,低谷,2,2
4124,4,0,2,16.4,82,0.0,138,21,10,正常,1,2
8247,3,0,1,30.34,51,7.0015,88,0,7,低谷,4,2
6553,1,0,1,9.02,44,16.9979,40,7,3,正常,0,2
5487,1,0,1,5.74,26,35.0008,224,18,1,高峰,0,0
4974,4,0,1,10.66,60,22.0028,477,8,12,高峰,0,0
7777,2,0,1,26.24,41,31.0009,187,10,6,正常,3,1
7428,2,0,2,26.24,65,19.0012,223,21,5,正常,3,2
4683,4,0,1,12.3,87,6.0032,18,5,11,低谷,1,2
4280,4,1,1,22.14,77,0.0,219,9,10,中高峰,2,1
3680,3,0,1,26.24,84,15.0013,3,6,9,正常,3,2
2061,2,0,2,24.6,64,12.998,364,19,5,高峰,3,0
600,1,0,1,10.66,93,11.0014,3,4,2,低谷,0,2
3409,3,0,1,27.06,50,11.0014,127,23,8,正常,3,2
9495,3,0,2,22.96,68,19.0012,26,0,9,低谷,2,2
8570,3,0,1,36.9,42,0.0,183,11,7,中高峰,5,1
7287,2,0,2,19.68,82,15.0013,90,0,5,低谷,2,2
8613,3,0,1,26.24,78,8.9981,185,6,8,正常,3,2
6718,1,0,2,17.22,94,6.0032,8,5,3,低谷,2,2
5675,1,0,2,13.94,87,6.0032,79,15,1,中高峰,1,1
7925,2,0,1,34.44,30,8.9981,500,14,6,中高峰,5,0
6875,2,0,1,27.06,39,15.0013,494,19,4,高峰,3,0
3396,3,0,1,30.34,37,16.9979,132,10,8,正常,4,1
10333,4,0,2,13.12,61,11.0014,125,23,11,正常,1,2
4855,4,0,2,22.96,64,6.0032,200,9,11,中高峰,2,0
1141,1,0,1,9.02,69,12.998,2,5,3,低谷,0,2
6514,1,0,2,25.42,41,43.0006,342,16,3,高峰,3,1
2698,3,0,1,28.7,42,11.0014,492,8,7,高峰,4,0
7775,2,0,1,24.6,49,15.0013,665,8,6,高峰,3,0
1910,2,0,1,22.96,49,23.9994,246,12,5,中高峰,2,1
7621,2,0,1,26.24,73,11.0014,286,22,5,正常,3,2
6555,1,0,1,9.84,41,22.0028,148,9,3,中高峰,0,1
4976,4,0,1,13.12,53,19.9995,93,10,12,正常,1,1
1719,2,0,1,20.5,34,26.0027,343,13,4,高峰,2,0
8842,3,0,1,31.16,62,19.0012,492,19,8,高峰,4,0
6027,1,0,1,13.12,49,0.0,289,9,2,中高峰,1,0
7242,2,0,2,20.5,77,0.0,3,3,5,低谷,2,2
4006,3,0,1,18.86,82,11.0014,136,23,9,正常,2,1
10316,4,0,2,12.3,65,16.9979,147,6,11,正常,1,2
9109,3,0,3,27.88,83,8.9981,166,22,9,正常,3,1
10627,4,0,2,16.4,87,7.0015,8,5,12,低谷,1,2
5067,4,0,1,12.3,87,7.0015,25,5,12,低谷,1,2
10567,4,0,1,12.3,45,7.0015,617,17,12,高峰,1,0
8801,3,0,1,28.7,84,6.0032,14,2,8,低谷,4,2
6382,1,0,2,14.76,93,12.998,2,4,3,低谷,1,2
2941,3,0,1,33.62,56,19.9995,128,11,7,中高峰,5,1
4160,4,0,1,22.14,60,19.9995,219,9,10,中高峰,2,0
9413,3,0,1,27.88,34,22.0028,715,14,9,中高峰,3,0
8195,3,0,1,31.98,43,8.9981,395,20,7,中高峰,4,0
5930,1,0,1,9.84,65,15.0013,226,7,2,正常,0,0
96,1,0,1,9.02,47,11.0014,3,5,1,低谷,0,2
4005,3,0,1,20.5,72,15.0013,143,22,9,正常,2,1
5419,4,0,2,14.76,53,8.9981,127,21,12,正常,1,2
10653,4,0,2,15.58,94,16.9979,294,7,12,正常,1,0
8031,2,0,1,24.6,73,11.0014,94,0,6,低谷,3,2
5321,4,0,2,21.32,59,19.0012,287,19,12,高峰,2,0
4152,4,0,1,19.68,77,11.0014,11,1,10,低谷,2,2
8341,3,0,3,30.34,70,6.0032,122,22,7,正常,4,1
10418,4,0,2,16.4,62,19.0012,242,12,11,中高峰,1,1
1131,1,0,1,12.3,56,22.0028,118,19,3,高峰,1,0
2266,2,0,1,28.7,32,19.9995,467,8,6,高峰,4,0
8619,3,0,1,32.8,49,7.0015,284,12,8,中高峰,4,1
4120,4,0,2,16.4,76,11.0014,495,17,10,高峰,1,0
442,1,0,2,8.2,86,0.0,55,12,2,中高峰,0,1
4232,4,0,1,20.5,77,0.0,217,9,10,中高峰,2,1
9858,4,0,2,22.96,73,16.9979,4,3,10,低谷,2,2
3811,3,0,1,27.06,89,11.0014,349,19,9,高峰,3,0
908,1,0,1,9.02,64,16.9979,110,7,3,正常,0,0
895,1,0,1,13.12,39,12.998,224,18,3,高峰,1,0
1924,2,0,1,17.22,82,6.0032,52,2,5,低谷,2,2
4720,4,0,1,18.04,67,7.0015,408,18,11,高峰,2,0
3370,3,0,1,30.34,51,12.998,399,8,8,高峰,4,0
799,1,0,1,16.4,40,15.0013,222,18,2,高峰,1,0
4711,4,0,1,13.94,93,0.0,219,9,11,中高峰,1,0
7890,2,0,1,25.42,57,0.0,40,3,6,低谷,3,2
3011,3,0,1,27.88,47,19.0012,224,9,7,中高峰,3,0
7676,2,0,1,18.86,67,0.0,12,5,5,低谷,2,2
5284,4,0,2,10.66,87,0.0,87,6,12,正常,0,2
3786,3,0,3,26.24,94,23.9994,68,18,9,高峰,3,0
2183,2,0,1,22.14,88,16.9979,174,21,5,正常,2,2
9397,3,0,1,25.42,83,12.998,229,22,9,正常,3,2
3144,3,0,1,30.34,74,0.0,156,22,7,正常,4,2
3102,3,0,1,26.24,78,11.0014,4,4,7,低谷,3,2
3515,3,0,1,27.88,61,19.0012,198,9,8,中高峰,3,0
10182,4,0,1,18.86,38,11.0014,434,16,11,高峰,2,1
6225,1,0,1,17.22,41,15.0013,171,15,2,中高峰,2,1
9780,4,0,1,17.22,62,8.9981,260,21,10,正常,2,2
266,1,0,1,9.02,44,23.9994,49,13,1,高峰,0,1
6837,2,0,1,13.12,66,6.0032,27,5,4,低谷,1,2
2753,3,0,1,34.44,53,19.9995,376,15,7,中高峰,5,0
3749,3,0,3,22.96,94,11.0014,4,4,9,低谷,2,2
7502,2,0,1,22.14,37,12.998,180,23,5,正常,2,2
2689,2,0,1,27.06,78,12.998,92,23,6,正常,3,1
2195,2,0,3,22.96,83,16.9979,202,9,5,中高峰,2,0
6422,1,0,1,11.48,38,16.9979,88,20,3,中高峰,0,1
9849,4,0,1,23.78,60,16.9979,453,18,10,高峰,3,0
1267,1,0,1,21.32,42,16.9979,125,15,3,中高峰,2,1
8230,3,1,1,27.88,65,0.0,72,7,7,正常,3,2
9707,4,1,3,16.4,71,15.0013,227,20,10,中高峰,1,1
219,1,0,2,5.74,50,19.9995,31,10,1,正常,0,1
3560,3,0,2,26.24,78,16.9979,103,6,8,正常,3,2
9868,4,0,2,22.96,88,15.0013,146,13,10,高峰,2,1
7565,2,0,2,25.42,73,16.9979,171,14,5,中高峰,3,1
10861,4,0,1,13.94,49,6.0032,81,23,12,正常,1,2
983,1,0,2,13.94,93,12.998,103,10,3,正常,1,0
8087,2,0,1,22.96,68,16.9979,119,8,6,高峰,2,1
8330,3,0,1,37.72,42,19.9995,389,11,7,中高峰,5,0
4928,4,0,1,10.66,41,19.0012,115,10,11,正常,0,1
1058,1,0,2,14.76,18,0.0,112,15,3,中高峰,1,1
5791,1,1,1,6.56,59,16.9979,179,11,1,中高峰,0,0
155,1,0,1,8.2,40,6.0032,123,18,1,高峰,0,0
2562,2,0,1,27.88,41,12.998,330,16,6,高峰,3,1
2549,2,0,1,23.78,53,22.0028,2,3,6,低谷,3,2
1672,2,1,1,22.14,52,16.9979,163,14,4,中高峰,2,0
10825,4,0,2,16.4,87,6.0032,170,11,12,中高峰,1,1
7131,2,0,1,26.24,44,19.0012,635,12,4,中高峰,3,0
7089,2,0,1,22.14,26,8.9981,671,18,4,高峰,2,0
2718,3,0,1,25.42,61,0.0,11,4,7,低谷,3,2
8252,3,0,1,29.52,62,0.0,29,5,7,低谷,4,2
6063,1,0,3,9.84,87,12.998,129,21,2,正常,0,2
8296,3,0,1,31.16,70,11.0014,71,1,7,低谷,4,2
4415,4,0,1,18.86,44,8.9981,107,0,10,低谷,2,2
10762,4,0,1,13.12,61,8.9981,221,20,12,中高峰,1,0
10251,4,1,1,24.6,60,15.0013,420,13,11,高峰,3,0
6420,1,0,1,13.12,33,40.9973,184,18,3,高峰,1,0
42,1,0,1,13.12,42,30.0026,30,19,1,高峰,1,0
2422,2,0,1,32.8,63,8.9981,280,20,6,中高峰,4,0
2660,2,0,2,30.34,55,12.998,381,18,6,高峰,4,0
3487,3,0,2,24.6,88,12.998,17,5,8,低谷,3,2
6217,1,0,2,12.3,65,12.998,321,7,2,正常,1,0
6397,1,0,1,18.86,33,11.0014,225,19,3,高峰,2,0
7597,2,0,1,23.78,78,15.0013,83,22,5,正常,3,2
9960,4,0,2,22.14,94,7.0015,389,9,10,中高峰,2,0
9521,4,0,1,18.86,72,0.0,12,2,10,低谷,2,2
7639,2,0,1,27.06,31,12.998,430,16,5,高峰,3,1
8565,3,0,1,29.52,70,11.0014,162,6,7,正常,4,2
9616,4,0,1,22.14,68,7.0015,46,1,10,低谷,2,2
10522,4,0,2,20.5,63,15.0013,306,20,12,中高峰,2,0
4431,4,0,1,24.6,46,26.0027,466,16,10,高峰,3,0
10716,4,0,2,12.3,52,15.0013,122,22,12,正常,1,2
7926,2,0,1,34.44,30,15.0013,475,15,6,中高峰,5,0
5163,4,0,1,9.02,80,0.0,20,5,12,低谷,0,2
6869,2,0,2,24.6,46,16.9979,251,13,4,高峰,3,1
953,1,0,2,7.38,74,12.998,1,4,3,低谷,0,2
9898,4,0,1,19.68,48,0.0,531,19,10,高峰,2,0
2114,2,0,2,21.32,100,0.0,39,0,5,低谷,2,2
289,1,0,1,8.2,44,27.9993,52,12,1,中高峰,0,1
7074,2,0,1,13.94,61,11.0014,11,3,4,低谷,1,2
2811,3,0,1,28.7,74,8.9981,15,1,7,低谷,4,2
9711,4,0,2,15.58,82,15.0013,31,0,10,低谷,1,2
7895,2,0,1,25.42,61,7.0015,244,8,6,高峰,3,1
1071,1,0,1,9.84,75,7.0015,2,4,3,低谷,0,2
3068,3,0,1,31.16,45,19.0012,428,18,7,高峰,4,0
7484,2,0,1,17.22,47,11.0014,26,5,5,低谷,2,2
4790,4,0,1,21.32,32,16.9979,361,16,11,高峰,2,0
10548,4,0,1,13.12,45,26.0027,105,22,12,正常,1,2
7521,2,0,2,27.06,31,12.998,546,18,5,高峰,3,0
10103,4,0,1,9.02,69,11.0014,588,8,11,高峰,0,0
784,1,0,2,8.2,47,12.998,1,3,2,低谷,0,2
1394,2,0,1,16.4,50,6.0032,31,23,4,正常,1,1
10078,4,0,2,12.3,49,16.9979,461,7,11,正常,1,0
8834,3,0,3,27.88,79,8.9981,251,11,8,中高峰,3,1
3284,3,0,2,29.52,79,30.0026,211,18,8,高峰,4,0
7911,2,0,1,27.06,69,7.0015,158,0,6,低谷,3,2
4378,4,0,3,21.32,88,11.0014,87,11,10,中高峰,2,1
4044,3,0,2,24.6,60,0.0,177,13,9,高峰,3,1
3772,3,0,2,25.42,94,6.0032,3,4,9,低谷,3,2
10820,4,0,2,14.76,93,8.9981,108,6,12,正常,1,2
193,1,0,1,4.1,49,19.0012,10,8,1,高峰,0,1
5238,4,0,2,6.56,80,7.0015,385,8,12,高峰,0,0
7737,2,0,1,26.24,36,0.0,512,18,6,高峰,3,0
8414,3,0,2,28.7,58,16.9979,152,23,7,正常,4,2
